MEMBER_ID,RATING,AUTHOR_ID,SUBJECT
did:indy:fc455279f4610052,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:058e845e604ca666,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:7ced776a82263470,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:65dd2c7340078a75,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:b940326bb9496a1f,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:c261ff5ec97e1a57,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:781b00bc12e2e944,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:95a9e5f58a342872,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:699b9e85ebe84c3b,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:c7b6378f76a3b144,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:7395f67f7dde0b9c,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:4aeebf5c6ef7bb04,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:89209d3e2f750d00,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:1b585f97c25bc354,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:93ebba30b93bc78a,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:3a7de8ba4ef9f84e,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:afe997985dc6ba2e,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:ff1d32a15230fd56,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:0dfb82a25507c634,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:8dbe7288ab373196,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:40bd72cfdc425b1c,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:c489d6a873b6ee79,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:97ae1c9ad12abd0b,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:242a01a06261db4e,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:5924f79a6b29a59d,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:18786db615f32073,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:596c85c691b1d064,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:fc4b2b68b74ea01f,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:95a277ced99a28b9,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:4b7fb044d80904ac,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:772aaea0a0addf3c,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:0742390b89af04a0,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:7fb16677e7eb3f54,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:a524f8c10ed9892d,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:a5b496fc0350011e,1.0,did:indy:ed0ff115ffb8d419,45504
did:indy:d1c694f062786bca,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:c40fc38d3ab00214,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:ff0e51db0964aa76,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:ffd83e10cecc5f19,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:f4c37bf0cf625685,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:cff494a977562e24,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:9def0fa94b5a72f0,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:cf123f52eb721fe0,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:c0d5e7db1bd553e6,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:3cf2c27de7b0a6e3,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:947f7758afc098ce,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:25f71b165137e288,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:6297f4696f151f29,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:ca3a2441c94e5eb6,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:e1dfab1bb1067eea,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:114b315133e39c56,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:7676e1e91d8848c0,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:c22752f3419b9e7d,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:cc4995885c596ff7,0.8,did:indy:ed0ff115ffb8d419,45504
did:indy:de1afb8bd8dfc96e,1.0,did:indy:a5b496fc0350011e,45504
did:indy:0a92570457ff864c,1.0,did:indy:a5b496fc0350011e,45504
did:indy:84387d08c0520c2a,1.0,did:indy:a5b496fc0350011e,45504
did:indy:644bfb36e39785e4,1.0,did:indy:a5b496fc0350011e,45504
did:indy:b280130565e1cfc2,1.0,did:indy:a5b496fc0350011e,45504
did:indy:973366a7c93bf455,1.0,did:indy:a5b496fc0350011e,45504
did:indy:ee6a06486e57b61a,1.0,did:indy:a5b496fc0350011e,45504
did:indy:0f5fe4e52d86691c,1.0,did:indy:a5b496fc0350011e,45504
did:indy:281789830a88f969,1.0,did:indy:a5b496fc0350011e,45504
did:indy:97ae1c9ad12abd0b,1.0,did:indy:a5b496fc0350011e,45504
did:indy:2a57c52745895390,1.0,did:indy:a5b496fc0350011e,45504
did:indy:fb2d0412eb6c8268,1.0,did:indy:a5b496fc0350011e,45504
did:indy:102d37c04d4cf578,1.0,did:indy:a5b496fc0350011e,45504
did:indy:9998d39a23d3a256,1.0,did:indy:a5b496fc0350011e,45504
did:indy:d53ddd8bb3dc5e22,1.0,did:indy:a5b496fc0350011e,45504
did:indy:0f4fc0a35f45b679,1.0,did:indy:a5b496fc0350011e,45504
did:indy:b0d72e62d5185364,1.0,did:indy:a5b496fc0350011e,45504
did:indy:810f349f8b949ea6,1.0,did:indy:a5b496fc0350011e,45504
did:indy:a58eaaf6a8e84d4a,1.0,did:indy:a5b496fc0350011e,45504
did:indy:a321efe8d6d356eb,1.0,did:indy:a5b496fc0350011e,45504
did:indy:b940326bb9496a1f,1.0,did:indy:a5b496fc0350011e,45504
did:indy:61a9fb7f6568f718,1.0,did:indy:a5b496fc0350011e,45504
did:indy:d56d527895e55e34,1.0,did:indy:a5b496fc0350011e,45504
did:indy:a8bf6d4e2f53568c,1.0,did:indy:a5b496fc0350011e,45504
did:indy:c7b6378f76a3b144,1.0,did:indy:a5b496fc0350011e,45504
did:indy:c489d6a873b6ee79,1.0,did:indy:a5b496fc0350011e,45504
did:indy:1cad126594f91bde,1.0,did:indy:a5b496fc0350011e,45504
did:indy:95a9e5f58a342872,1.0,did:indy:a5b496fc0350011e,45504
did:indy:79692c8efb0c834c,1.0,did:indy:a5b496fc0350011e,45504
did:indy:c261ff5ec97e1a57,1.0,did:indy:a5b496fc0350011e,45504
did:indy:0dfb82a25507c634,1.0,did:indy:a5b496fc0350011e,45504
did:indy:3a7de8ba4ef9f84e,1.0,did:indy:a5b496fc0350011e,45504
did:indy:89209d3e2f750d00,1.0,did:indy:a5b496fc0350011e,45504
did:indy:1b585f97c25bc354,1.0,did:indy:a5b496fc0350011e,45504
did:indy:ed0ff115ffb8d419,1.0,did:indy:a5b496fc0350011e,45504
did:indy:93ebba30b93bc78a,1.0,did:indy:a5b496fc0350011e,45504
did:indy:ca6ee896d374d38b,1.0,did:indy:a5b496fc0350011e,45504
did:indy:c40fc38d3ab00214,1.0,did:indy:a5b496fc0350011e,45504
